"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
1080,"S1Mon ","1Tap","2,818h Playtime ","5,122 Matches ","549","621","2503","137.3","28.1%","49.9%","2,557","80,090","80,492","26,974","{1.33}","{0.7}","{""1,310""}","{Jett}","{""780 hours""}","{""1,413""}","51.6%","{1.06}",NULL,NULL,NULL,NULL,NULL,NULL
1081,"Foxy ","1021","1,703h Playtime ","2,934 Matches ","549","397","1386","153.6","27.4%","50.8%","1,491","52,015","43,088","15,553","{1.57}","{0.8}","{884}","{Astra}","{""458 hours""}","{771}","49.5%","{1.24}",NULL,NULL,NULL,NULL,NULL,NULL
1082,"RODEN ","3741","2,494h Playtime ","4,456 Matches ","533","472","2126","142.5","26.9%","51.3%","2,284","73,085","69,314","27,180","{1.45}","{0.8}","{""1,041""}","{Sova}","{""308 hours""}","{554}","52.5%","{1.06}","Vandal","38%","Phantom","31%","Fracture","56.2%"
1083,"go1den7 ","gun","2,465h Playtime ","4,373 Matches ","549","609","2135","129.5","24.0%","50.0%","2,186","63,154","64,756","27,425","{1.40}","{0.7}","{""1,258""}","{Omen}","{""634 hours""}","{""1,140""}","51.1%","{0.98}","Vandal","35%","Phantom","31%","Lotus","55.9%"
1084,"twitch mooda ","deMon","1,538h Playtime ","2,780 Matches ","549","390","1307","157.1","25.2%","52.2%","1,452","49,087","44,418","10,958","{1.35}","{0.8}","{532}","{Jett}","{""679 hours""}","{""1,230""}","52.6%","{1.13}","Vandal","39%","Sheriff","50%","Sunset","65.3%"
1085,"yanyandd ","99011","1,465h Playtime ","2,660 Matches ","548","416","1276","156.0","27.6%","50.9%","1,354","48,355","42,470","10,139","{1.38}","{0.9}","{541}","{Jett}","{""639 hours""}","{""1,157""}","51.9%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
1086,"symetrical ","200","707h Playtime ","1,293 Matches ","548","168","587","143.8","32.8%","53.7%","694","21,418","19,408","6,896","{1.46}","{0.8}","{345}","{Jett}","{""123 hours""}","{226}","53.1%","{1.27}","Vandal","46%","Phantom","40%","Pearl","65.9%"
1087,"get a hobby ","chinX","334h Playtime ","614 Matches ","548","133","261","138.3","23.1%","56.0%","344","9,645","8,863","4,322","{1.58}","{0.7}","{198}","{Omen}","{""57 hours""}","{105}","55.2%","{1.01}",NULL,NULL,NULL,NULL,NULL,NULL
1088,"affect ","935","2,953h Playtime ","5,270 Matches ","548","550","2582","146.2","22.3%","49.7%","2,621","87,334","85,379","27,111","{1.34}","{0.8}","{""1,115""}","{Jett}","{""691 hours""}","{""1,249""}","50.4%","{1.06}",NULL,NULL,NULL,NULL,NULL,NULL
1089,"Te33yシ ","Teddy","1,422h Playtime ","2,594 Matches ","548","404","1200","141.0","25.4%","52.7%","1,366","41,113","40,872","12,011","{1.30}","{0.8}","{548}","{Jett}","{""425 hours""}","{777}","52.3%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
1090,"Ange ","cove","1,452h Playtime ","2,585 Matches ","548","460","1104","150.5","26.0%","56.3%","1,455","45,233","38,026","15,672","{1.60}","{0.8}","{778}","{Viper}","{""235 hours""}","{425}","56.7%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
1091,"EMT ","1113","2,030h Playtime ","3,645 Matches ","547","738","1793","139.2","26.1%","50.0%","1,822","58,843","53,078","19,499","{1.48}","{0.8}","{""1,244""}","{Omen}","{""256 hours""}","{467}","49.7%","{1.07}","Vandal","39%","Phantom","32%","Lotus","54.5%"
1092,"Moon ","100","3,518h Playtime ","6,320 Matches ","547","615","3094","136.3","20.3%","49.8%","3,147","96,695","102,577","33,490","{1.27}","{0.7}","{""1,155""}","{Jett}","{""938 hours""}","{""1,675""}","48.5%","{1.00}",NULL,NULL,NULL,NULL,NULL,NULL
1093,"twitch wodahS ","5152","2,959h Playtime ","5,236 Matches ","554","578","2561","132.0","26.0%","49.9%","2,613","79,220","77,834","29,392","{1.40}","{0.7}","{""1,497""}","{Omen}","{""596 hours""}","{""1,056""}","50.2%","{1.00}",NULL,NULL,NULL,NULL,NULL,NULL
