"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
253,"TwitchTobitot0s0 ","PONTV","1,180h Playtime ","2,169 Matches ","701","241","1083","141.6","22.6%","49.3%","1,069","34,766","34,615","12,369","{1.36}","{0.8}","{429}","{Jett}","{""289 hours""}","{537}","50.5%","{1.05}","Vandal","38%","Phantom","32%","Icebox","52.1%"
254,"FCB KPZET ","111","2,039h Playtime ","3,671 Matches ","701","410","1569","155.8","31.7%","56.0%","2,056","65,636","55,072","17,438","{1.51}","{0.8}","{906}","{Reyna}","{""291 hours""}","{525}","53.9%","{1.23}","Vandal","46%","Ghost","51%","Lotus","68.3%"
255,"Drog ","nigel","4,074h Playtime ","7,296 Matches ","701","814","3577","145.6","26.3%","49.5%","3,609","122,713","117,548","31,686","{1.31}","{0.8}","{""1,562""}","{Jett}","{""534 hours""}","{956}","45.9%","{1.04}",NULL,NULL,NULL,NULL,NULL,NULL
256,"sultan ","xdd","2,284h Playtime ","4,060 Matches ","723","453","1971","142.3","31.2%","50.1%","2,034","65,194","61,606","19,195","{1.37}","{0.8}","{""1,019""}","{Omen}","{""348 hours""}","{615}","50.6%","{1.05}","Vandal","44%","Phantom","40%","Split","53.3%"
257,"TSM jamalballs45 ","FTX","649h Playtime ","1,129 Matches ","721","202","485","147.2","25.1%","55.2%","623","19,053","16,080","7,054","{1.62}","{0.8}","{423}","{Omen}","{""105 hours""}","{180}","56.7%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
258,"Suyjing ","ymsz","2,097h Playtime ","3,743 Matches ","700","653","1809","146.9","22.3%","50.7%","1,898","62,151","57,954","18,768","{1.40}","{0.8}","{889}","{Raze}","{""573 hours""}","{""1,024""}","53.4%","{1.13}","Vandal","35%","Phantom","31%","Pearl","58.1%"
259,"maikkL ","777","1,642h Playtime ","2,981 Matches ","700","392","1411","155.0","29.6%","51.2%","1,527","51,776","46,429","12,506","{1.38}","{0.8}","{633}","{Jett}","{""377 hours""}","{668}","53.1%","{1.25}",NULL,NULL,NULL,NULL,NULL,NULL
260,"ARF SCar ","dub","1,922h Playtime ","3,438 Matches ","700","602","1648","131.8","29.8%","50.9%","1,750","52,181","49,149","23,657","{1.54}","{0.7}","{""1,230""}","{Omen}","{""612 hours""}","{""1,092""}","47.3%","{1.04}",NULL,NULL,NULL,NULL,NULL,NULL
261,"Anoxai ","SSS","2,775h Playtime ","5,079 Matches ","699","648","2294","155.5","26.6%","53.5%","2,716","88,845","81,820","24,779","{1.39}","{0.8}","{918}","{Jett}","{""948 hours""}","{""1,739""}","53.9%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
262,"deyteN ","mloml","335h Playtime ","616 Matches ","680","104","269","176.6","37.5%","55.7%","343","12,630","9,522","2,133","{1.55}","{1.0}","{150}","{Jett}","{""116 hours""}","{214}","58.4%","{1.32}",NULL,NULL,NULL,NULL,NULL,NULL
263,"Zentox ","BYAGA","2,771h Playtime ","4,809 Matches ","699","681","2385","140.9","26.2%","49.4%","2,378","76,980","69,133","23,577","{1.45}","{0.8}","{""1,423""}","{Omen}","{""383 hours""}","{664}","51.8%","{1.13}","Vandal","39%","Phantom","30%","Pearl","54.7%"
264,"jUukashu ","hdora","2,124h Playtime ","3,841 Matches ","699","499","1832","143.3","27.9%","51.6%","1,982","62,124","56,438","19,137","{1.44}","{0.8}","{""1,128""}","{Reyna}","{""362 hours""}","{649}","51.8%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
265,"Ben TenZ ","JKs","2,631h Playtime ","4,786 Matches ","699","595","2256","158.7","27.4%","51.7%","2,472","89,087","75,609","19,161","{1.43}","{0.9}","{""1,149""}","{Jett}","{""1,141 hours""}","{""2,075""}","50.0%","{1.21}","Vandal","43%","Operator","8%","Sunset","69.6%"
266,"GN Minny ","0000","2,405h Playtime ","4,258 Matches ","698","520","1927","151.3","33.1%","53.8%","2,291","74,399","64,264","18,870","{1.45}","{0.8}","{""1,240""}","{Jett}","{""343 hours""}","{605}","51.7%","{1.18}","Vandal","47%","Phantom","38%","Pearl","57.1%"
267,"DINOSOWER NINJA ","1337","3,632h Playtime ","6,503 Matches ","698","680","3209","146.0","24.1%","49.0%","3,184","109,264","105,835","30,719","{1.32}","{0.8}","{""1,185""}","{Jett}","{""812 hours""}","{""1,443""}","47.4%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
268,"2021   OsGuVii ","osgu","2,361h Playtime ","4,229 Matches ","698","455","1991","153.5","29.3%","51.4%","2,172","73,860","70,388","16,680","{1.29}","{0.8}","{644}","{Jett}","{""869 hours""}","{""1,546""}","53.5%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
269,"FOCUS vizsla ","063","1,676h Playtime ","2,969 Matches ","697","455","1360","152.0","28.6%","53.2%","1,579","52,067","44,774","11,787","{1.43}","{0.8}","{890}","{Chamber}","{""500 hours""}","{890}","54.0%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
270,"JBS ","XGOD","2,816h Playtime ","5,182 Matches ","696","622","2362","147.0","30.9%","53.8%","2,789","88,530","79,328","23,476","{1.41}","{0.8}","{""1,389""}","{Jett}","{""523 hours""}","{967}","50.8%","{1.15}",NULL,NULL,NULL,NULL,NULL,NULL
271,"DnS ","2006","470h Playtime ","833 Matches ","695","115","357","161.2","26.3%","56.2%","468","14,753","12,550","3,898","{1.49}","{0.8}","{198}","{Jett}","{""127 hours""}","{229}","61.1%","{1.23}","Vandal","41%","Phantom","39%","Fracture","67.6%"
272,"PA7E ","7329","1,197h Playtime ","2,135 Matches ","695","382","993","142.6","22.0%","52.1%","1,113","33,820","32,609","10,547","{1.36}","{0.8}","{469}","{Jett}","{""373 hours""}","{675}","53.0%","{1.12}","Vandal","35%","Phantom","25%","Pearl","62.3%"
273,"Martini ","idk","2,044h Playtime ","3,743 Matches ","695","391","1849","149.6","27.3%","49.7%","1,860","64,654","59,173","16,591","{1.37}","{0.8}","{775}","{Jett}","{""564 hours""}","{""1,020""}","48.6%","{1.13}","Vandal","40%","Phantom","33%","Sunset","56.3%"
274,"aidan ","xxx","1,362h Playtime ","2,420 Matches ","695","299","1130","151.6","23.5%","52.1%","1,260","41,644","38,755","10,019","{1.33}","{0.8}","{535}","{Jett}","{""635 hours""}","{""1,134""}","50.3%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
275,"LeeoLoos ","Pittu","2,726h Playtime ","4,760 Matches ","694","532","2300","143.2","26.8%","50.5%","2,404","78,917","71,416","27,502","{1.49}","{0.8}","{""1,343""}","{Omen}","{""1,281 hours""}","{""2,263""}","51.7%","{1.10}",NULL,NULL,NULL,NULL,NULL,NULL
276,"OLIMPO shion ","0000","1,959h Playtime ","3,409 Matches ","694","494","1518","159.9","25.4%","54.5%","1,858","61,463","49,929","23,597","{1.70}","{0.8}","{952}","{Sova}","{""347 hours""}","{611}","57.8%","{1.29}","Vandal","37%","Phantom","32%","Breeze","59.8%"
277,"BUTCHERKnqdewL ","KUNN","456h Playtime ","831 Matches ","694","102","361","159.8","24.6%","55.2%","459","14,455","13,152","3,923","{1.40}","{0.8}","{185}","{Raze}","{""92 hours""}","{164}","51.2%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
278,"斗鱼 7ommy ","520","2,101h Playtime ","3,753 Matches ","693","530","1829","143.4","24.0%","50.1%","1,881","61,957","56,426","16,665","{1.39}","{0.8}","{""1,108""}","{Phoenix}","{""718 hours""}","{""1,268""}","51.4%","{1.15}","Vandal","35%","Phantom","29%","Pearl","57.3%"
279,"OXG verno ","000","1,697h Playtime ","3,032 Matches ","693","386","1324","150.3","25.7%","55.5%","1,683","53,424","43,921","15,136","{1.56}","{0.8}","{""1,155""}","{Sova}","{""313 hours""}","{558}","56.3%","{1.22}","Vandal","39%","Phantom","32%","Lotus","59.7%"
280,"AIC MILKY ","5555","2,783h Playtime ","4,885 Matches ","693","522","2339","145.4","24.3%","51.4%","2,509","80,751","75,199","29,558","{1.47}","{0.8}","{""1,478""}","{Viper}","{""376 hours""}","{672}","53.3%","{1.10}",NULL,NULL,NULL,NULL,NULL,NULL
281,"SHU PERCALODON ","Noble","1,521h Playtime ","2,649 Matches ","705","379","1248","142.1","24.7%","51.1%","1,353","42,612","40,143","14,683","{1.43}","{0.8}","{724}","{Sova}","{""438 hours""}","{770}","52.9%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
282,"5CM ","0702","485h Playtime ","910 Matches ","692","115","419","156.6","45.2%","52.6%","479","16,321","13,842","3,709","{1.45}","{0.9}","{205}","{Reyna}","{""238 hours""}","{452}","57.5%","{1.25}","Vandal","60%","Ghost","61%","Pearl","66.7%"
283,"土間 埋 Umaru ","xoxo","1,415h Playtime ","2,586 Matches ","692","383","1189","153.7","30.2%","52.9%","1,367","45,707","38,222","11,870","{1.51}","{0.8}","{656}","{Sage}","{""189 hours""}","{338}","56.8%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
1412,"Froggen ","2814","458h Playtime ","840 Matches ","511","99","375","164.0","25.3%","54.6%","459","15,500","13,647","3,445","{1.39}","{0.9}","{145}","{Reyna}","{""261 hours""}","{477}","53.2%","{1.15}",NULL,NULL,NULL,NULL,NULL,NULL
284,"noumit ","666","3,008h Playtime ","5,259 Matches ","692","640","2612","135.5","23.3%","49.2%","2,590","79,534","77,243","25,495","{1.36}","{0.7}","{""1,551""}","{Killjoy}","{""1,084 hours""}","{""1,907""}","50.9%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
285,"ejay ","oleih","1,903h Playtime ","3,465 Matches ","691","575","1632","161.0","26.1%","51.8%","1,796","65,605","55,546","14,123","{1.44}","{0.9}","{684}","{Jett}","{""637 hours""}","{""1,163""}","52.5%","{1.23}",NULL,NULL,NULL,NULL,NULL,NULL
286,"Chiko Impact ","xvids","1,188h Playtime ","2,183 Matches ","708","317","1032","159.8","26.6%","51.9%","1,134","39,001","34,345","9,697","{1.42}","{0.9}","{449}","{Jett}","{""317 hours""}","{598}","55.5%","{1.15}","Vandal","40%","Phantom","30%","Sunset","62.1%"
287,"SUPR gio02x ","LIVE","496h Playtime ","895 Matches ","691","147","402","150.8","29.4%","54.0%","483","15,448","13,228","5,312","{1.57}","{0.8}","{263}","{Skye}","{""89 hours""}","{163}","58.9%","{1.18}",NULL,NULL,NULL,NULL,NULL,NULL
288,"TITOUNE ","KING","2,097h Playtime ","3,776 Matches ","691","448","1805","151.5","22.9%","51.2%","1,934","65,590","62,556","14,452","{1.28}","{0.8}","{591}","{Jett}","{""1,228 hours""}","{""2,217""}","51.4%","{1.06}",NULL,NULL,NULL,NULL,NULL,NULL
289,"FOX Takoeee ","5TK","221h Playtime ","412 Matches ","712","64","158","164.1","32.3%","59.7%","246","7,358","6,105","1,955","{1.53}","{0.9}","{100}","{Cypher}","{""47 hours""}","{91}","64.8%","{1.36}","Vandal","46%","Ghost","46%","Sunset","63.5%"
290,"M8 Wailers ","Zizou","2,322h Playtime ","4,082 Matches ","690","455","1972","147.9","29.0%","50.8%","2,074","69,623","61,468","21,360","{1.48}","{0.8}","{""1,063""}","{Omen}","{""438 hours""}","{775}","48.1%","{1.11}","Vandal","40%","Phantom","35%","Sunset","60.8%"
291,"FOKUS Sunny ","goo","350h Playtime ","654 Matches ","689","204","214","164.0","29.3%","65.9%","431","11,987","9,717","3,231","{1.57}","{0.9}","{134}","{Jett}","{""69 hours""}","{132}","62.9%","{1.24}","Vandal","45%","Ghost","46%","Fracture","78.9%"
292,"Liquid Jamppi ","1964","1,600h Playtime ","2,842 Matches ","689","381","1148","155.5","29.0%","58.8%","1,670","52,227","43,822","12,911","{1.49}","{0.9}","{663}","{Jett}","{""439 hours""}","{784}","57.8%","{1.23}","Vandal","43%","Phantom","39%","Sunset","63.0%"
293,"VER howlsv ","5430","1,863h Playtime ","3,291 Matches ","688","465","1572","148.4","26.4%","50.4%","1,658","55,186","52,923","18,056","{1.38}","{0.8}","{669}","{Sova}","{""405 hours""}","{724}","54.3%","{1.10}",NULL,NULL,NULL,NULL,NULL,NULL
294,"coconut ","sir","3,741h Playtime ","6,797 Matches ","688","935","3356","137.5","31.7%","49.8%","3,383","108,470","105,899","34,504","{1.35}","{0.7}","{""1,703""}","{Sova}","{""631 hours""}","{""1,163""}","49.3%","{1.00}",NULL,NULL,NULL,NULL,NULL,NULL
295,"Tamable ","BGDKS","1,287h Playtime ","2,291 Matches ","688","307","1046","158.5","15.7%","52.6%","1,206","40,780","36,377","11,462","{1.44}","{0.8}","{458}","{Jett}","{""531 hours""}","{941}","52.8%","{1.15}","Vandal","21%","Phantom","21%","Icebox","56.7%"
296,"DonatelloOO ","GOAT","1,938h Playtime ","3,502 Matches ","688","523","1660","150.9","30.7%","51.7%","1,812","60,121","56,397","15,085","{1.33}","{0.8}","{656}","{Jett}","{""714 hours""}","{""1,293""}","49.7%","{1.09}","Vandal","44%","Phantom","36%","Sunset","59.7%"
297,"WU infiltrator ","KVON","4,479h Playtime ","8,178 Matches ","687","786","3919","156.6","28.6%","51.2%","4,190","148,261","135,398","35,287","{1.36}","{0.8}","{""1,497""}","{Jett}","{""1,794 hours""}","{""3,286""}","52.8%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
298,"LSR ","7777","855h Playtime ","1,552 Matches ","687","148","741","148.2","32.6%","51.1%","793","26,480","25,261","5,601","{1.27}","{0.8}","{223}","{Jett}","{""262 hours""}","{476}","49.8%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
299,"Average Fudge ","idk","962h Playtime ","1,723 Matches ","686","230","806","160.2","30.7%","51.8%","892","31,345","26,366","7,202","{1.46}","{0.9}","{394}","{Reyna}","{""229 hours""}","{409}","53.8%","{1.30}",NULL,NULL,NULL,NULL,NULL,NULL
300,"snappydr ","XGOD","244h Playtime ","449 Matches ","686","63","195","168.1","33.0%","56.1%","252","8,976","7,132","1,666","{1.49}","{0.9}","{110}","{Jett}","{""127 hours""}","{234}","55.1%","{1.32}",NULL,NULL,NULL,NULL,NULL,NULL
301,"FonTuz ","amyam","2,478h Playtime ","4,458 Matches ","686","495","2122","139.6","19.0%","51.1%","2,278","69,364","67,544","24,406","{1.39}","{0.7}","{""1,298""}","{Raze}","{""588 hours""}","{""1,058""}","50.5%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
302,"kami ","tism","1,471h Playtime ","2,649 Matches ","685","334","1237","155.2","28.8%","52.3%","1,385","45,834","40,546","13,608","{1.47}","{0.8}","{596}","{Jett}","{""211 hours""}","{380}","53.2%","{1.17}",NULL,NULL,NULL,NULL,NULL,NULL
303,"EATER ","2323","1,312h Playtime ","2,377 Matches ","684","331","1115","144.3","28.3%","51.2%","1,218","39,366","36,617","10,422","{1.36}","{0.8}","{535}","{Reyna}","{""191 hours""}","{349}","51.9%","{1.20}","Vandal","45%","Phantom","38%","Lotus","56.0%"
304,"HOWL VenTT ","miru","1,919h Playtime ","3,407 Matches ","684","554","1533","145.8","29.2%","53.7%","1,829","55,953","50,361","22,008","{1.55}","{0.8}","{833}","{Omen}","{""463 hours""}","{834}","56.7%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
305,"GS Padisah ","2310","2,248h Playtime ","4,057 Matches ","683","517","1862","151.8","30.5%","52.5%","2,131","71,327","65,328","17,009","{1.35}","{0.8}","{795}","{Jett}","{""475 hours""}","{851}","54.4%","{1.11}","Vandal","44%","Phantom","37%","Lotus","59.3%"
306,"aaaydenboy ","LnwZa","1,125h Playtime ","1,989 Matches ","683","379","930","155.7","20.0%","52.3%","1,040","35,115","30,405","9,190","{1.46}","{0.8}","{496}","{Reyna}","{""284 hours""}","{493}","50.1%","{1.26}","Vandal","32%","Phantom","22%","Sunset","60.4%"
307,"XLD cidZzZ ","myzzi","771h Playtime ","1,354 Matches ","683","348","560","158.7","29.2%","56.8%","769","24,339","18,105","8,933","{1.84}","{0.9}","{466}","{Sova}","{""327 hours""}","{573}","57.6%","{1.40}",NULL,NULL,NULL,NULL,NULL,NULL
308,"은둔고수 ","KOR","610h Playtime ","1,120 Matches ","682","119","495","154.3","22.3%","54.9%","615","19,400","17,856","4,422","{1.33}","{0.8}","{190}","{Jett}","{""212 hours""}","{388}","55.7%","{1.15}","Vandal","33%","Operator","7%","Haven","61.0%"
309,"Notexxd ","ela","1,536h Playtime ","2,769 Matches ","699","434","1266","147.6","29.5%","53.4%","1,478","47,047","41,801","18,535","{1.57}","{0.8}","{765}","{Viper}","{""548 hours""}","{982}","56.5%","{1.15}",NULL,NULL,NULL,NULL,NULL,NULL
310,"KC MAGNUM ","rawr","2,228h Playtime ","4,022 Matches ","682","674","1629","159.6","27.5%","58.2%","2,341","72,742","62,259","22,389","{1.53}","{0.9}","{914}","{Killjoy}","{""357 hours""}","{648}","61.6%","{1.27}","Vandal","40%","Phantom","35%","Pearl","61.9%"
311,"TYLOO NinebodyXD ","酸萝卜别吃","1,271h Playtime ","2,277 Matches ","682","353","1045","158.9","27.0%","53.1%","1,208","40,412","35,273","11,979","{1.49}","{0.8}","{501}","{Raze}","{""222 hours""}","{401}","54.9%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
312,"garnetSxd ","kekw","3,844h Playtime ","6,962 Matches ","682","752","3278","161.9","28.2%","52.2%","3,634","133,197","109,594","24,785","{1.44}","{0.9}","{""1,663""}","{Jett}","{""1,834 hours""}","{""3,310""}","53.0%","{1.26}",NULL,NULL,NULL,NULL,NULL,NULL
313,"aoッ ","akari","2,839h Playtime ","5,047 Matches ","681","522","2442","152.5","26.7%","50.4%","2,542","88,931","82,938","20,408","{1.32}","{0.8}","{945}","{Jett}","{""1,214 hours""}","{""2,156""}","51.8%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
314,"RBTE neptuNo ","2723","927h Playtime ","1,638 Matches ","681","410","732","134.4","26.4%","54.2%","888","24,906","23,020","10,016","{1.52}","{0.7}","{680}","{Omen}","{""180 hours""}","{326}","58.3%","{1.11}","Vandal","39%","Phantom","31%","Lotus","62.3%"
315,"GAL lurzy0y0 ","Boss","4,367h Playtime ","7,791 Matches ","680","936","3579","161.3","34.8%","53.0%","4,130","146,076","119,360","35,653","{1.52}","{0.9}","{""1,874""}","{Raze}","{""598 hours""}","{""1,062""}","55.9%","{1.26}",NULL,NULL,NULL,NULL,NULL,NULL
316,"lukxo666 ","GLRS","2,714h Playtime ","4,874 Matches ","679","538","2320","154.9","27.0%","51.2%","2,496","87,719","79,360","22,231","{1.39}","{0.8}","{952}","{Jett}","{""477 hours""}","{868}","50.9%","{1.11}","Vandal","41%","Phantom","35%","Sunset","60.0%"
317,"MDR SoOn ","099","2,224h Playtime ","3,929 Matches ","679","464","1680","150.9","24.4%","56.3%","2,213","66,944","57,002","17,807","{1.49}","{0.8}","{""1,295""}","{Killjoy}","{""428 hours""}","{764}","59.4%","{1.27}",NULL,NULL,NULL,NULL,NULL,NULL
318,"ego1st ","hygge","634h Playtime ","1,198 Matches ","678","144","538","166.0","35.7%","53.8%","645","21,637","18,770","6,392","{1.49}","{0.9}","{228}","{Sova}","{""168 hours""}","{313}","55.9%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
319,"HERO dgzin 777 ","2WCM","3,690h Playtime ","6,537 Matches ","658","823","3021","158.1","30.6%","52.8%","3,451","124,891","102,532","26,084","{1.47}","{0.9}","{""1,467""}","{Jett}","{""1,300 hours""}","{""2,306""}","54.8%","{1.26}","Vandal","44%","Operator","6%","Pearl","54.5%"
320,"CASE Foxie ","GGMU","2,807h Playtime ","5,016 Matches ","677","540","2314","141.0","32.0%","52.7%","2,642","80,288","79,821","24,358","{1.31}","{0.7}","{""1,204""}","{Sova}","{""595 hours""}","{""1,062""}","57.1%","{1.04}","Vandal","50%","Phantom","41%","Breeze","54.7%"
321,"Sogeking ","0321","1,627h Playtime ","3,017 Matches ","677","336","1411","156.0","21.7%","51.8%","1,562","52,415","48,595","15,300","{1.39}","{0.8}","{620}","{Raze}","{""489 hours""}","{908}","54.2%","{1.09}","Vandal","34%","Phantom","29%","Sunset","59.5%"
322,"Exalt ","EZ4ME","2,990h Playtime ","5,370 Matches ","676","572","2632","149.6","26.0%","49.9%","2,680","92,424","83,721","27,508","{1.43}","{0.8}","{""1,352""}","{Jett}","{""695 hours""}","{""1,271""}","47.9%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
323,"nephh ","porry","2,063h Playtime ","3,736 Matches ","676","433","1799","150.7","27.0%","51.1%","1,908","65,291","58,322","19,014","{1.45}","{0.8}","{896}","{Jett}","{""300 hours""}","{543}","51.4%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
324,"UOL Patix ","fiend","2,278h Playtime ","4,024 Matches ","676","660","1959","135.8","37.7%","49.5%","1,993","64,277","61,658","19,493","{1.36}","{0.8}","{""1,039""}","{Omen}","{""561 hours""}","{""1,003""}","52.2%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
325,"Ajea ","2202","2,268h Playtime ","4,066 Matches ","675","517","1927","152.1","30.2%","51.3%","2,085","70,521","64,861","16,071","{1.34}","{0.8}","{887}","{Jett}","{""874 hours""}","{""1,564""}","50.3%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
326,"Little jgzz ","Pun1","2,825h Playtime ","4,917 Matches ","693","603","2373","141.5","23.1%","50.3%","2,471","78,013","76,369","25,328","{1.35}","{0.7}","{""1,142""}","{Jett}","{""567 hours""}","{995}","49.0%","{1.01}","Vandal","36%","Phantom","26%","Pearl","53.9%"
327,"sh0twell ","focus","1,908h Playtime ","3,438 Matches ","675","532","1675","157.1","23.9%","50.1%","1,721","61,627","52,052","17,300","{1.52}","{0.8}","{939}","{Jett}","{""629 hours""}","{""1,135""}","51.6%","{1.21}","Vandal","35%","Phantom","29%","Haven","54.4%"
328,"FL alyaL ","layla","2,149h Playtime ","3,849 Matches ","675","540","1851","146.1","21.8%","50.5%","1,944","63,098","60,057","19,446","{1.37}","{0.8}","{980}","{Jett}","{""506 hours""}","{913}","50.9%","{1.10}",NULL,NULL,NULL,NULL,NULL,NULL
329,"JFT GLOOM ","144","2,067h Playtime ","3,645 Matches ","675","512","1752","144.1","20.7%","50.8%","1,850","58,717","53,974","22,168","{1.50}","{0.8}","{""1,194""}","{Raze}","{""302 hours""}","{528}","55.9%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
330,"zaj ","333","2,569h Playtime ","4,725 Matches ","674","492","2280","157.4","32.6%","50.7%","2,395","81,947","75,273","19,361","{1.35}","{0.8}","{900}","{Reyna}","{""892 hours""}","{""1,638""}","53.7%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
331,"maitee ","420","1,749h Playtime ","3,128 Matches ","672","418","1551","139.8","24.3%","49.8%","1,559","50,760","46,629","19,369","{1.50}","{0.8}","{876}","{Viper}","{""199 hours""}","{362}","46.1%","{1.05}","Vandal","34%","Phantom","27%","Sunset","60.5%"
332,"vorce ","uwu","461h Playtime ","821 Matches ","672","140","343","152.9","27.5%","56.0%","460","14,094","12,591","3,797","{1.42}","{0.8}","{176}","{Jett}","{""113 hours""}","{205}","53.7%","{1.16}","Vandal","40%","Phantom","33%","Lotus","67.4%"
333,"PE Galduix ","ZzZz","3,074h Playtime ","5,442 Matches ","672","656","2649","154.7","21.9%","50.1%","2,724","92,844","88,282","27,662","{1.37}","{0.8}","{992}","{Raze}","{""798 hours""}","{""1,392""}","50.7%","{1.07}","Vandal","35%","Phantom","31%","Ascent","53.0%"
334,"SZK azaziN ","haha","1,545h Playtime ","2,736 Matches ","672","333","1278","151.2","28.3%","51.1%","1,399","46,961","41,290","11,163","{1.41}","{0.8}","{739}","{Jett}","{""391 hours""}","{703}","50.9%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
335,"WOL yuicaw ","nocap","2,570h Playtime ","4,615 Matches ","671","621","2187","159.3","29.0%","51.8%","2,390","83,939","73,066","20,112","{1.42}","{0.9}","{932}","{Jett}","{""944 hours""}","{""1,696""}","52.2%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
336,"Secret NDG ","2004","3,830h Playtime ","6,873 Matches ","671","678","3256","143.6","22.2%","51.7%","3,551","112,444","104,275","37,728","{1.44}","{0.8}","{""1,989""}","{Killjoy}","{""454 hours""}","{814}","55.4%","{1.12}","Vandal","34%","Phantom","29%","Pearl","56.3%"
337,"vixinity ","000","965h Playtime ","1,796 Matches ","671","250","816","165.1","27.4%","53.5%","960","32,254","27,173","7,281","{1.45}","{0.9}","{334}","{Jett}","{""534 hours""}","{""1,000""}","57.0%","{1.27}","Vandal","40%","Sheriff","49%","Lotus","58.4%"
338,"bruninho ","777","2,398h Playtime ","4,404 Matches ","670","542","2084","141.7","19.8%","51.2%","2,256","68,176","67,781","24,863","{1.37}","{0.7}","{976}","{Killjoy}","{""370 hours""}","{675}","55.4%","{1.10}","Vandal","31%","Phantom","25%","Sunset","60.3%"
339,"DIA x1tsha ","222","2,159h Playtime ","3,936 Matches ","670","760","1873","152.8","30.6%","51.2%","2,015","70,552","63,494","15,517","{1.36}","{0.8}","{702}","{Jett}","{""359 hours""}","{649}","50.8%","{1.13}","Vandal","43%","Phantom","37%","Sunset","54.9%"
340,"RIG DH ","0511","1,674h Playtime ","2,994 Matches ","670","414","1350","159.6","34.5%","53.8%","1,612","54,192","48,360","11,686","{1.36}","{0.8}","{617}","{Jett}","{""585 hours""}","{""1,053""}","55.1%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
341,"FAV Minty ","000","1,974h Playtime ","3,389 Matches ","670","535","1631","162.2","26.9%","50.8%","1,721","63,683","53,800","13,298","{1.43}","{0.9}","{730}","{Jett}","{""1,089 hours""}","{""1,868""}","52.8%","{1.23}",NULL,NULL,NULL,NULL,NULL,NULL
342,"FUT ATA KAPTAN ","3535","2,228h Playtime ","3,938 Matches ","669","463","1682","144.2","29.3%","56.0%","2,207","66,461","58,616","25,215","{1.56}","{0.8}","{""1,052""}","{Omen}","{""598 hours""}","{""1,058""}","52.6%","{1.11}","Vandal","39%","Phantom","36%","Sunset","67.3%"
343,"RISE sunny ","VIPER","1,974h Playtime ","3,552 Matches ","669","813","1728","133.2","30.8%","50.3%","1,785","53,258","54,621","21,957","{1.38}","{0.7}","{""1,051""}","{Viper}","{""1,010 hours""}","{""1,802""}","51.6%","{0.99}",NULL,NULL,NULL,NULL,NULL,NULL
344,"IMOO ","dcD","1,268h Playtime ","2,181 Matches ","669","418","1026","132.2","24.6%","51.2%","1,117","32,603","31,430","11,796","{1.41}","{0.7}","{755}","{Sova}","{""226 hours""}","{389}","56.3%","{1.05}","Vandal","37%","Phantom","31%","Breeze","57.8%"
345,"eQz MCD ","777","1,383h Playtime ","2,450 Matches ","669","399","1176","138.4","25.7%","50.6%","1,240","38,270","34,514","14,632","{1.53}","{0.7}","{793}","{Omen}","{""299 hours""}","{531}","54.6%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
346,"Kozok ","GOAT","3,124h Playtime ","5,611 Matches ","669","595","2739","136.4","21.8%","50.0%","2,807","86,007","86,361","34,110","{1.39}","{0.7}","{""1,367""}","{Sova}","{""887 hours""}","{""1,620""}","51.3%","{0.99}",NULL,NULL,NULL,NULL,NULL,NULL
